trk_code,wager_dt,race_nbr,wager_typ,wager_winner,wager_payoff,wager_min,race_code
AQU,2019-11-24,1,Exacta,2-1,2170,100,24Nov19_01AQU00
AQU,2019-11-24,1,Trifecta,2-1-5,5200,50,24Nov19_01AQU00
AQU,2019-11-24,1,Superfecta,2-1-5-4,3320,10,24Nov19_01AQU00
AQU,2019-11-24,1,Win_w,"2  Queen Kahen",340,200,24Nov19_01AQU00
AQU,2019-11-24,1,Win_p,"2  Queen Kahen",270,200,24Nov19_01AQU00
AQU,2019-11-24,1,Win_s,"2  Queen Kahen",210,200,24Nov19_01AQU00
AQU,2019-11-24,1,Place_p,"1  Dirty Bird",1080,200,24Nov19_01AQU00
AQU,2019-11-24,1,Place_s,"1  Dirty Bird",460,200,24Nov19_01AQU00
AQU,2019-11-24,1,Show_s,"5  Gracetown",310,200,24Nov19_01AQU00
AQU,2019-11-01,3,Exacta,3-1,2950,100,01Nov19_03AQU00
AQU,2019-11-01,3,Trifecta,3-1-6,4800,50,01Nov19_03AQU00
AQU,2019-11-01,3,Superfecta,3-1-6-2,4025,10,01Nov19_03AQU00
AQU,2019-11-01,3,DailyDouble,14-3,3275,100,01Nov19_03AQU00
AQU,2019-11-01,3,Pick3,5-14-3,5075,100,01Nov19_03AQU00
AQU,2019-11-01,3,Win_w,"3  First Forever",1480,200,01Nov19_03AQU00
AQU,2019-11-01,3,Win_p,"3  First Forever",500,200,01Nov19_03AQU00
AQU,2019-11-01,3,Win_s,"3  First Forever",380,200,01Nov19_03AQU00
AQU,2019-11-01,3,Place_p,"1  Prairie Fire",370,200,01Nov19_03AQU00
AQU,2019-11-01,3,Place_s,"1  Prairie Fire",300,200,01Nov19_03AQU00
AQU,2019-11-01,3,Show_s,"6  Promise Me Roses",360,200,01Nov19_03AQU00
BEL,2019-10-14,2,Exacta,8-3,1070,100,14Oct19_02BEL00
BEL,2019-10-14,2,Quinella,3-8,500,100,14Oct19_02BEL00
BEL,2019-10-14,2,Trifecta,8-3-11,1612,50,14Oct19_02BEL00
BEL,2019-10-14,2,Superfecta,8-3-11-6,1257,10,14Oct19_02BEL00
BEL,2019-10-14,2,DailyDouble,5-8,1660,100,14Oct19_02BEL00
BEL,2019-10-14,2,ConsolationDouble,5-4,260,100,14Oct19_02BEL00
BEL,2019-10-14,2,Win_w,"8  Vip Nation",1020,200,14Oct19_02BEL00
BEL,2019-10-14,2,Win_p,"8  Vip Nation",440,200,14Oct19_02BEL00
BEL,2019-10-14,2,Win_s,"8  Vip Nation",300,200,14Oct19_02BEL00
BEL,2019-10-14,2,Place_p,"3  First Appeal",260,200,14Oct19_02BEL00
BEL,2019-10-14,2,Place_s,"3  First Appeal",210,200,14Oct19_02BEL00
BEL,2019-10-14,2,Show_s,"11 Hollywood Cat",260,200,14Oct19_02BEL00
BEL,2019-09-20,1,Exacta,5-2,2600,100,20Sep19_01BEL00
BEL,2019-09-20,1,Trifecta,5-2-1,4625,50,20Sep19_01BEL00
BEL,2019-09-20,1,Superfecta,5-2-1-6,2860,10,20Sep19_01BEL00
BEL,2019-09-20,1,Win_w,"5  Trouble for Skylar",450,200,20Sep19_01BEL00
BEL,2019-09-20,1,Win_p,"5  Trouble for Skylar",330,200,20Sep19_01BEL00
BEL,2019-09-20,1,Win_s,"5  Trouble for Skylar",250,200,20Sep19_01BEL00
BEL,2019-09-20,1,Place_p,"2  Promise Me Roses",740,200,20Sep19_01BEL00
BEL,2019-09-20,1,Place_s,"2  Promise Me Roses",430,200,20Sep19_01BEL00
BEL,2019-09-20,1,Show_s,"1  Tequila Sunday",320,200,20Sep19_01BEL00
SAR,2019-08-29,3,Exacta,3-2,16950,100,29Aug19_03SAR00
SAR,2019-08-29,3,Trifecta,3-2-1,15800,50,29Aug19_03SAR00
SAR,2019-08-29,3,Superfecta,3-2-1-5,24160,10,29Aug19_03SAR00
SAR,2019-08-29,3,DailyDouble,6-3,12375,100,29Aug19_03SAR00
SAR,2019-08-29,3,Pick3,5-6-3,54250,100,29Aug19_03SAR00
SAR,2019-08-29,3,Win_w,"3  Blissful Breeze",7500,200,29Aug19_03SAR00
SAR,2019-08-29,3,Win_p,"3  Blissful Breeze",2180,200,29Aug19_03SAR00
SAR,2019-08-29,3,Win_s,"3  Blissful Breeze",740,200,29Aug19_03SAR00
SAR,2019-08-29,3,Place_p,"2  Tequila Sunday",530,200,29Aug19_03SAR00
SAR,2019-08-29,3,Place_s,"2  Tequila Sunday",300,200,29Aug19_03SAR00
SAR,2019-08-29,3,Show_s,"1  Camorra",230,200,29Aug19_03SAR00
DEL,2019-08-19,6,Exacta,4-6,2580,100,19Aug19_06DEL00
DEL,2019-08-19,6,DailyDouble,3-3,530,100,19Aug19_06DEL00
DEL,2019-08-19,6,DailyDouble,3-4,5530,100,19Aug19_06DEL00
DEL,2019-08-19,6,Pick3,6-3-3,2935,50,19Aug19_06DEL00
DEL,2019-08-19,6,Pick3,6-3-4,14235,50,19Aug19_06DEL00
DEL,2019-08-19,6,Win_w,"4  Ivanya",1300,200,19Aug19_06DEL00
DEL,2019-08-19,6,Win_p,"4  Ivanya",460,200,19Aug19_06DEL00
DEL,2019-08-19,6,Win_s,"4  Ivanya",0,200,19Aug19_06DEL00
DEL,2019-08-19,6,Place_p,"6  Stakes On a Plane",380,200,19Aug19_06DEL00
DEL,2019-08-19,6,Place_s,"6  Stakes On a Plane",0,200,19Aug19_06DEL00
DEL,2019-08-19,6,Show_s,"1  Tequila Sunday",0,200,19Aug19_06DEL00
SAR,2019-07-27,6,Exacta,11-6,16000,100,27Jul19_06SAR00
SAR,2019-07-27,6,Trifecta,11-6-9,48600,50,27Jul19_06SAR00
SAR,2019-07-27,6,Superfecta,11-6-9-7,60985,10,27Jul19_06SAR00
SAR,2019-07-27,6,DailyDouble,7-11,13375,100,27Jul19_06SAR00
SAR,2019-07-27,6,Pick3,1-7-11,19950,100,27Jul19_06SAR00
SAR,2019-07-27,6,Win_w,"11 New Girl in Town",4740,200,27Jul19_06SAR00
SAR,2019-07-27,6,Win_p,"11 New Girl in Town",1840,200,27Jul19_06SAR00
SAR,2019-07-27,6,Win_s,"11 New Girl in Town",930,200,27Jul19_06SAR00
SAR,2019-07-27,6,Place_p,"6  Cash Offer",690,200,27Jul19_06SAR00
SAR,2019-07-27,6,Place_s,"6  Cash Offer",470,200,27Jul19_06SAR00
SAR,2019-07-27,6,Show_s,"9  More Mischief",340,200,27Jul19_06SAR00
BEL,2019-07-06,4,Exacta,8-5,1190,100,06Jul19_04BEL00
BEL,2019-07-06,4,Quinella,5-8,310,100,06Jul19_04BEL00
BEL,2019-07-06,4,Trifecta,8-5-6,3000,50,06Jul19_04BEL00
BEL,2019-07-06,4,Superfecta,8-5-6-4,1655,10,06Jul19_04BEL00
BEL,2019-07-06,4,DailyDouble,1-8,3325,100,06Jul19_04BEL00
BEL,2019-07-06,4,Pick3,9-1-8,20450,100,06Jul19_04BEL00
BEL,2019-07-06,4,Win_w,"8  Bangle Gal",730,200,06Jul19_04BEL00
BEL,2019-07-06,4,Win_p,"8  Bangle Gal",340,200,06Jul19_04BEL00
BEL,2019-07-06,4,Win_s,"8  Bangle Gal",270,200,06Jul19_04BEL00
BEL,2019-07-06,4,Place_p,"5  Cash Offer",290,200,06Jul19_04BEL00
BEL,2019-07-06,4,Place_s,"5  Cash Offer",240,200,06Jul19_04BEL00
BEL,2019-07-06,4,Show_s,"6  Mary's Girl",420,200,06Jul19_04BEL00
BEL,2019-05-31,1,Exacta,1-2,4525,100,31May19_01BEL00
BEL,2019-05-31,1,Trifecta,1-2-6,8525,50,31May19_01BEL00
BEL,2019-05-31,1,Superfecta,1-2-6-3,4505,10,31May19_01BEL00
BEL,2019-05-31,1,Win_w,"1  Reata's Reward",600,200,31May19_01BEL00
BEL,2019-05-31,1,Win_p,"1  Reata's Reward",400,200,31May19_01BEL00
BEL,2019-05-31,1,Win_s,"1  Reata's Reward",240,200,31May19_01BEL00
BEL,2019-05-31,1,Place_p,"2  Tequila Sunday",1300,200,31May19_01BEL00
BEL,2019-05-31,1,Place_s,"2  Tequila Sunday",540,200,31May19_01BEL00
BEL,2019-05-31,1,Show_s,"6  Golden Vale",240,200,31May19_01BEL00
AQU,2019-04-20,4,Exacta,2-1,3925,100,20Apr19_04AQU00
AQU,2019-04-20,4,Quinella,1-2,2410,100,20Apr19_04AQU00
AQU,2019-04-20,4,Trifecta,2-1-3,8412,50,20Apr19_04AQU00
AQU,2019-04-20,4,Superfecta,2-1-3-6,13690,10,20Apr19_04AQU00
AQU,2019-04-20,4,DailyDouble,7-2,990,100,20Apr19_04AQU00
AQU,2019-04-20,4,Pick3,5-7-2,2975,100,20Apr19_04AQU00
AQU,2019-04-20,4,Win_w,"2  Malarkey",1160,200,20Apr19_04AQU00
AQU,2019-04-20,4,Win_p,"2  Malarkey",560,200,20Apr19_04AQU00
AQU,2019-04-20,4,Win_s,"2  Malarkey",490,200,20Apr19_04AQU00
AQU,2019-04-20,4,Place_p,"1  Overheated",650,200,20Apr19_04AQU00
AQU,2019-04-20,4,Place_s,"1  Overheated",620,200,20Apr19_04AQU00
AQU,2019-04-20,4,Show_s,"3  Claire's Kitty",690,200,20Apr19_04AQU00
AQU,2019-04-05,3,Exacta,4-2,1530,100,05Apr19_03AQU00
AQU,2019-04-05,3,Trifecta,4-2-3,3100,50,05Apr19_03AQU00
AQU,2019-04-05,3,Superfecta,4-2-3-1,2070,10,05Apr19_03AQU00
AQU,2019-04-05,3,DailyDouble,4-4,1530,100,05Apr19_03AQU00
AQU,2019-04-05,3,Pick3,5-4-4,3125,100,05Apr19_03AQU00
AQU,2019-04-05,3,Win_w,"4  Courageous Queen",940,200,05Apr19_03AQU00
AQU,2019-04-05,3,Win_p,"4  Courageous Queen",320,200,05Apr19_03AQU00
AQU,2019-04-05,3,Win_s,"4  Courageous Queen",260,200,05Apr19_03AQU00
AQU,2019-04-05,3,Place_p,"2  Bowl of Kisses",270,200,05Apr19_03AQU00
AQU,2019-04-05,3,Place_s,"2  Bowl of Kisses",210,200,05Apr19_03AQU00
AQU,2019-04-05,3,Show_s,"3  Tequila Sunday",360,200,05Apr19_03AQU00
AQU,2019-03-16,4,Exacta,3-6,1270,100,16Mar19_04AQU00
AQU,2019-03-16,4,Quinella,3-6,820,100,16Mar19_04AQU00
AQU,2019-03-16,4,Trifecta,3-6-4,1637,50,16Mar19_04AQU00
AQU,2019-03-16,4,Superfecta,3-6-4-7,1140,10,16Mar19_04AQU00
AQU,2019-03-16,4,DailyDouble,5-3,990,100,16Mar19_04AQU00
AQU,2019-03-16,4,Pick3,6-5-3,4950,100,16Mar19_04AQU00
AQU,2019-03-16,4,Win_w,"3  Tequila Sunday",440,200,16Mar19_04AQU00
AQU,2019-03-16,4,Win_p,"3  Tequila Sunday",350,200,16Mar19_04AQU00
AQU,2019-03-16,4,Win_s,"3  Tequila Sunday",240,200,16Mar19_04AQU00
AQU,2019-03-16,4,Place_p,"6  Carlisle Belle",640,200,16Mar19_04AQU00
AQU,2019-03-16,4,Place_s,"6  Carlisle Belle",310,200,16Mar19_04AQU00
AQU,2019-03-16,4,Show_s,"4  Needs No Ice",240,200,16Mar19_04AQU00
AQU,2019-02-21,3,Exacta,4-6,1360,100,21Feb19_03AQU00
AQU,2019-02-21,3,Trifecta,4-6-7,2000,50,21Feb19_03AQU00
AQU,2019-02-21,3,Superfecta,4-6-7-5,730,10,21Feb19_03AQU00
AQU,2019-02-21,3,DailyDouble,5-4,710,100,21Feb19_03AQU00
AQU,2019-02-21,3,Pick3,3-5-4,1090,100,21Feb19_03AQU00
AQU,2019-02-21,3,Win_w,"4  Sweet Like Char",650,200,21Feb19_03AQU00
AQU,2019-02-21,3,Win_p,"4  Sweet Like Char",460,200,21Feb19_03AQU00
AQU,2019-02-21,3,Win_s,"4  Sweet Like Char",290,200,21Feb19_03AQU00
AQU,2019-02-21,3,Place_p,"6  Tequila Sunday",370,200,21Feb19_03AQU00
AQU,2019-02-21,3,Place_s,"6  Tequila Sunday",270,200,21Feb19_03AQU00
AQU,2019-02-21,3,Show_s,"7  Needs No Ice",360,200,21Feb19_03AQU00
AQU,2019-02-15,8,Exacta,6-7,870,100,15Feb19_08AQU00
AQU,2019-02-15,8,Trifecta,6-7-1,1115,50,15Feb19_08AQU00
AQU,2019-02-15,8,Superfecta,6-7-1-9,492,10,15Feb19_08AQU00
AQU,2019-02-15,8,DailyDouble,4-6,1620,100,15Feb19_08AQU00
AQU,2019-02-15,8,Pick3,3-4-6,2600,100,15Feb19_08AQU00
AQU,2019-02-15,8,Pick4,7-3/5-4-6,19850,50,15Feb19_08AQU00
AQU,2019-02-15,8,Pick5,2-7-3/5/4-6,106775,50,15Feb19_08AQU00
AQU,2019-02-15,8,Pick6,1-2-7-3/5-4-6,21300,200,15Feb19_08AQU00
AQU,2019-02-15,8,Pick6,1-2-7-3/5-4-6,1258200,200,15Feb19_08AQU00
AQU,2019-02-15,8,Win_w,"6  Magari",840,200,15Feb19_08AQU00
AQU,2019-02-15,8,Win_p,"6  Magari",350,200,15Feb19_08AQU00
AQU,2019-02-15,8,Win_s,"6  Magari",250,200,15Feb19_08AQU00
AQU,2019-02-15,8,Place_p,"7  Ouro Verde",270,200,15Feb19_08AQU00
AQU,2019-02-15,8,Place_s,"7  Ouro Verde",210,200,15Feb19_08AQU00
AQU,2019-02-15,8,Show_s,"1  Dancingwthdaffodls",240,200,15Feb19_08AQU00
AQU,2018-12-31,4,Exacta,1-3,1080,100,31Dec18_04AQU00
AQU,2018-12-31,4,Quinella,1-3,520,100,31Dec18_04AQU00
AQU,2018-12-31,4,Trifecta,1-3-4,1375,50,31Dec18_04AQU00
AQU,2018-12-31,4,Superfecta,1-3-4-7,1642,10,31Dec18_04AQU00
AQU,2018-12-31,4,DailyDouble,1-1,540,100,31Dec18_04AQU00
AQU,2018-12-31,4,Pick3,6-1-1,1650,100,31Dec18_04AQU00
AQU,2018-12-31,4,Win_w,"1  Mazmania",600,200,31Dec18_04AQU00
AQU,2018-12-31,4,Win_p,"1  Mazmania",330,200,31Dec18_04AQU00
AQU,2018-12-31,4,Win_s,"1  Mazmania",210,200,31Dec18_04AQU00
AQU,2018-12-31,4,Place_p,"3  Tequila Sunday",490,200,31Dec18_04AQU00
AQU,2018-12-31,4,Place_s,"3  Tequila Sunday",290,200,31Dec18_04AQU00
AQU,2018-12-31,4,Show_s,"4  Eight Minute Ellie",260,200,31Dec18_04AQU00
AQU,2018-12-14,9,Exacta,9-7,2850,100,14Dec18_09AQU00
AQU,2018-12-14,9,Trifecta,9-7-1,5662,50,14Dec18_09AQU00
AQU,2018-12-14,9,Superfecta,9-7-1-5,5895,10,14Dec18_09AQU00
AQU,2018-12-14,9,DailyDouble,8-9,1210,100,14Dec18_09AQU00
AQU,2018-12-14,9,Pick3,6-8-9,6075,100,14Dec18_09AQU00
AQU,2018-12-14,9,ConsolationPick3,6-2-9,2575,100,14Dec18_09AQU00
AQU,2018-12-14,9,Pick4,2/6-6/11-2/7/8-9,9125,50,14Dec18_09AQU00
AQU,2018-12-14,9,Pick5,"1/2,6/6,11/2,7,8/9",145725,50,14Dec18_09AQU00
AQU,2018-12-14,9,Pick6,4-1-2/6-6/11-2/7/8-9,82400,200,14Dec18_09AQU00
AQU,2018-12-14,9,Win_w,"9  Two Hot Betty",1020,200,14Dec18_09AQU00
AQU,2018-12-14,9,Win_p,"9  Two Hot Betty",520,200,14Dec18_09AQU00
AQU,2018-12-14,9,Win_s,"9  Two Hot Betty",390,200,14Dec18_09AQU00
AQU,2018-12-14,9,Place_p,"7  Ouro Verde",480,200,14Dec18_09AQU00
AQU,2018-12-14,9,Place_s,"7  Ouro Verde",360,200,14Dec18_09AQU00
AQU,2018-12-14,9,Show_s,"1  Third Card Down",300,200,14Dec18_09AQU00
AQU,2018-12-07,3,Exacta,5-6,4375,100,07Dec18_03AQU00
AQU,2018-12-07,3,Trifecta,5-6-4,10225,50,07Dec18_03AQU00
AQU,2018-12-07,3,Superfecta,5-6-4-8,9575,10,07Dec18_03AQU00
AQU,2018-12-07,3,DailyDouble,2-5,2470,100,07Dec18_03AQU00
AQU,2018-12-07,3,Pick3,2-2-5,4175,100,07Dec18_03AQU00
AQU,2018-12-07,3,Win_w,"5  Princess Mikayah",1900,200,07Dec18_03AQU00
AQU,2018-12-07,3,Win_p,"5  Princess Mikayah",850,200,07Dec18_03AQU00
AQU,2018-12-07,3,Win_s,"5  Princess Mikayah",470,200,07Dec18_03AQU00
AQU,2018-12-07,3,Place_p,"6  Eight Minute Ellie",740,200,07Dec18_03AQU00
AQU,2018-12-07,3,Place_s,"6  Eight Minute Ellie",410,200,07Dec18_03AQU00
AQU,2018-12-07,3,Show_s,"4  Tequila Sunday",280,200,07Dec18_03AQU00
AQU,2018-11-25,1,Exacta,5-6,1120,100,25Nov18_01AQU00
AQU,2018-11-25,1,Trifecta,5-6-7,11350,50,25Nov18_01AQU00
AQU,2018-11-25,1,Superfecta,5-6-7-4,8630,10,25Nov18_01AQU00
AQU,2018-11-25,1,Win_w,"5  Tequila Sunday",340,200,25Nov18_01AQU00
AQU,2018-11-25,1,Win_p,"5  Tequila Sunday",250,200,25Nov18_01AQU00
AQU,2018-11-25,1,Win_s,"5  Tequila Sunday",210,200,25Nov18_01AQU00
AQU,2018-11-25,1,Place_p,"6  Needs No Ice",890,200,25Nov18_01AQU00
AQU,2018-11-25,1,Place_s,"6  Needs No Ice",570,200,25Nov18_01AQU00
AQU,2018-11-25,1,Show_s,"7  Saratoga Sass",990,200,25Nov18_01AQU00
AQU,2018-11-04,9,Exacta,12-2,3600,100,04Nov18_09AQU00
AQU,2018-11-04,9,Trifecta,12-2-8,5325,50,04Nov18_09AQU00
AQU,2018-11-04,9,Superfecta,12-2-8-10,2910,10,04Nov18_09AQU00
AQU,2018-11-04,9,DailyDouble,5-12,3125,100,04Nov18_09AQU00
AQU,2018-11-04,9,Pick3,1-5-12,9800,100,04Nov18_09AQU00
AQU,2018-11-04,9,Pick4,"5/1,6,11,12,13,14/5/12",82350,50,04Nov18_09AQU00
AQU,2018-11-04,9,Pick5,"1,2,3,7,10/5/1,6,11,12,13,14/5",226150,50,04Nov18_09AQU00
AQU,2018-11-04,9,Pick6,NULL,11000,200,04Nov18_09AQU00
AQU,2018-11-04,9,Pick6,NULL,1186000,200,04Nov18_09AQU00
AQU,2018-11-04,9,Win_w,"12 Adorable Song",1620,200,04Nov18_09AQU00
AQU,2018-11-04,9,Win_p,"12 Adorable Song",790,200,04Nov18_09AQU00
AQU,2018-11-04,9,Win_s,"12 Adorable Song",520,200,04Nov18_09AQU00
AQU,2018-11-04,9,Place_p,"2  Tequila Sunday",620,200,04Nov18_09AQU00
AQU,2018-11-04,9,Place_s,"2  Tequila Sunday",420,200,04Nov18_09AQU00
AQU,2018-11-04,9,Show_s,"8  Anne's Song",310,200,04Nov18_09AQU00
BEL,2018-10-08,4,Exacta,8-6,2420,100,08Oct18_04BEL00
BEL,2018-10-08,4,Quinella,6-8,910,100,08Oct18_04BEL00
BEL,2018-10-08,4,Trifecta,8-6-4,7425,50,08Oct18_04BEL00
BEL,2018-10-08,4,Superfecta,8-6-4-2,8965,10,08Oct18_04BEL00
BEL,2018-10-08,4,DailyDouble,4-8,2750,100,08Oct18_04BEL00
BEL,2018-10-08,4,Pick3,9-4-8,10250,100,08Oct18_04BEL00
BEL,2018-10-08,4,Win_w,"8  Gentle Annie",1460,200,08Oct18_04BEL00
BEL,2018-10-08,4,Win_p,"8  Gentle Annie",570,200,08Oct18_04BEL00
BEL,2018-10-08,4,Win_s,"8  Gentle Annie",490,200,08Oct18_04BEL00
BEL,2018-10-08,4,Place_p,"6  Zecha",360,200,08Oct18_04BEL00
BEL,2018-10-08,4,Place_s,"6  Zecha",310,200,08Oct18_04BEL00
BEL,2018-10-08,4,Show_s,"4  Ramblin' Ma'am",630,200,08Oct18_04BEL00
BEL,2018-09-19,9,Exacta,7-5,1120,100,19Sep18_09BEL00
BEL,2018-09-19,9,Trifecta,7-5-4,1175,50,19Sep18_09BEL00
BEL,2018-09-19,9,Superfecta,7-5-4-6,1092,10,19Sep18_09BEL00
BEL,2018-09-19,9,DailyDouble,7-7,3700,100,19Sep18_09BEL00
BEL,2018-09-19,9,Pick3,13-7-7,10175,100,19Sep18_09BEL00
BEL,2018-09-19,9,Pick4,6-3/4/5/6/10/12/13-7-7,18075,50,19Sep18_09BEL00
BEL,2018-09-19,9,Pick5,2-6-3/4/5/6/10/12/13-7-7,180375,50,19Sep18_09BEL00
BEL,2018-09-19,9,Pick6,6-2-6-3/4/5/6/10/12/13-7-7,45550,200,19Sep18_09BEL00
BEL,2018-09-19,9,Pick6,6-2-6-3/4/5/6/10/12/13-7-7,6777900,200,19Sep18_09BEL00
BEL,2018-09-19,9,Win_w,"7  Party in the Sand",800,200,19Sep18_09BEL00
BEL,2018-09-19,9,Win_p,"7  Party in the Sand",370,200,19Sep18_09BEL00
BEL,2018-09-19,9,Win_s,"7  Party in the Sand",240,200,19Sep18_09BEL00
BEL,2018-09-19,9,Place_p,"5  Zecha",330,200,19Sep18_09BEL00
BEL,2018-09-19,9,Place_s,"5  Zecha",240,200,19Sep18_09BEL00
BEL,2018-09-19,9,Show_s,"4  Tequila Sunday",250,200,19Sep18_09BEL00
SAR,2018-08-13,5,Exacta,4-5,4750,100,13Aug18_05SAR00
SAR,2018-08-13,5,Trifecta,4-5-7,24425,50,13Aug18_05SAR00
SAR,2018-08-13,5,Superfecta,4-5-7-3,15330,10,13Aug18_05SAR00
SAR,2018-08-13,5,DailyDouble,5-4,2725,100,13Aug18_05SAR00
SAR,2018-08-13,5,Pick3,7-5-4,5550,100,13Aug18_05SAR00
SAR,2018-08-13,5,Pick4,6-4/5/7-5-4,7200,50,13Aug18_05SAR00
SAR,2018-08-13,5,Pick5,2-6-4/5/7-5-4,211275,50,13Aug18_05SAR00
SAR,2018-08-13,5,Win_w,"4  Lightworker",1380,200,13Aug18_05SAR00
SAR,2018-08-13,5,Win_p,"4  Lightworker",620,200,13Aug18_05SAR00
SAR,2018-08-13,5,Win_s,"4  Lightworker",430,200,13Aug18_05SAR00
SAR,2018-08-13,5,Place_p,"5  Thirsty Gal",520,200,13Aug18_05SAR00
SAR,2018-08-13,5,Place_s,"5  Thirsty Gal",430,200,13Aug18_05SAR00
SAR,2018-08-13,5,Show_s,"7  Promise Me Roses",530,200,13Aug18_05SAR00
SAR,2018-07-27,10,Exacta,1-10,2950,100,27Jul18_10SAR00
SAR,2018-07-27,10,Trifecta,1-10-11,6787,50,27Jul18_10SAR00
SAR,2018-07-27,10,Superfecta,1-10-11-4,8470,10,27Jul18_10SAR00
SAR,2018-07-27,10,DailyDouble,1-1,610,100,27Jul18_10SAR00
SAR,2018-07-27,10,Pick3,7-1-1,3900,100,27Jul18_10SAR00
SAR,2018-07-27,10,Pick4,3-7-1-1,5512,50,27Jul18_10SAR00
SAR,2018-07-27,10,Pick5,3-3-7-1-1,30950,50,27Jul18_10SAR00
SAR,2018-07-27,10,Pick6,5-3-3-7-1-1,5150,200,27Jul18_10SAR00
SAR,2018-07-27,10,Pick6,5-3-3-7-1-1,456900,200,27Jul18_10SAR00
SAR,2018-07-27,10,Win_w,"1  Lady Vicki",940,200,27Jul18_10SAR00
SAR,2018-07-27,10,Win_p,"1  Lady Vicki",560,200,27Jul18_10SAR00
SAR,2018-07-27,10,Win_s,"1  Lady Vicki",410,200,27Jul18_10SAR00
SAR,2018-07-27,10,Place_p,"10 Trinni Ninja",740,200,27Jul18_10SAR00
SAR,2018-07-27,10,Place_s,"10 Trinni Ninja",460,200,27Jul18_10SAR00
SAR,2018-07-27,10,Show_s,"11 Wappinger",380,200,27Jul18_10SAR00
BEL,2018-07-14,10,Exacta,1-3,5825,100,14Jul18_10BEL00
BEL,2018-07-14,10,Trifecta,1-3-2,12150,50,14Jul18_10BEL00
BEL,2018-07-14,10,Superfecta,1-3-2-5,10395,10,14Jul18_10BEL00
BEL,2018-07-14,10,DailyDouble,4-1,3725,100,14Jul18_10BEL00
BEL,2018-07-14,10,Pick3,9-4-1,21625,100,14Jul18_10BEL00
BEL,2018-07-14,10,Pick4,8-9-4-1,33450,50,14Jul18_10BEL00
BEL,2018-07-14,10,Pick5,6-8-9-4-1,161825,50,14Jul18_10BEL00
BEL,2018-07-14,10,Pick6,7-6-8-9-4-1,29100,200,14Jul18_10BEL00
BEL,2018-07-14,10,Pick6,7-6-8-9-4-1,2272900,200,14Jul18_10BEL00
BEL,2018-07-14,10,Win_w,"1  Troffissio",1000,200,14Jul18_10BEL00
BEL,2018-07-14,10,Win_p,"1  Troffissio",630,200,14Jul18_10BEL00
BEL,2018-07-14,10,Win_s,"1  Troffissio",510,200,14Jul18_10BEL00
BEL,2018-07-14,10,Place_p,"3  Lightworker",1140,200,14Jul18_10BEL00
BEL,2018-07-14,10,Place_s,"3  Lightworker",770,200,14Jul18_10BEL00
BEL,2018-07-14,10,Show_s,"2  Trinni Ninja",450,200,14Jul18_10BEL00
BEL,2018-06-23,5,Exacta,3-4,6050,100,23Jun18_05BEL00
BEL,2018-06-23,5,Trifecta,3-4-2,14675,50,23Jun18_05BEL00
BEL,2018-06-23,5,Superfecta,3-4-2-7,16365,10,23Jun18_05BEL00
BEL,2018-06-23,5,DailyDouble,7-3,4325,100,23Jun18_05BEL00
BEL,2018-06-23,5,ConsolationDouble,7-8,230,100,23Jun18_05BEL00
BEL,2018-06-23,5,Pick3,3-7-3,15775,100,23Jun18_05BEL00
BEL,2018-06-23,5,ConsolationPick3,3-7-8,740,100,23Jun18_05BEL00
BEL,2018-06-23,5,Pick4,4-3-5/6/7-3,56525,50,23Jun18_05BEL00
BEL,2018-06-23,5,Pick5,7-4-3-5/6/7-3,270250,50,23Jun18_05BEL00
BEL,2018-06-23,5,Win_w,"3  Little Nanny",2060,200,23Jun18_05BEL00
BEL,2018-06-23,5,Win_p,"3  Little Nanny",950,200,23Jun18_05BEL00
BEL,2018-06-23,5,Win_s,"3  Little Nanny",630,200,23Jun18_05BEL00
BEL,2018-06-23,5,Place_p,"4  Tiffany's Vision",930,200,23Jun18_05BEL00
BEL,2018-06-23,5,Place_s,"4  Tiffany's Vision",630,200,23Jun18_05BEL00
BEL,2018-06-23,5,Show_s,"2  One Cool Kitten",490,200,23Jun18_05BEL00
BEL,2018-05-28,5,Exacta,10-6,8750,100,28May18_05BEL00
BEL,2018-05-28,5,Trifecta,10-6-2,29250,50,28May18_05BEL00
BEL,2018-05-28,5,Superfecta,10-6-2-1,16855,10,28May18_05BEL00
BEL,2018-05-28,5,DailyDouble,4-10,4275,100,28May18_05BEL00
BEL,2018-05-28,5,Pick3,8-4-10,31000,100,28May18_05BEL00
BEL,2018-05-28,5,Pick4,3-8-4-10,167525,50,28May18_05BEL00
BEL,2018-05-28,5,Pick5,2-3-8-4-10,914000,50,28May18_05BEL00
BEL,2018-05-28,5,Win_w,"10 Jo Jo's Candy",2040,200,28May18_05BEL00
BEL,2018-05-28,5,Win_p,"10 Jo Jo's Candy",890,200,28May18_05BEL00
BEL,2018-05-28,5,Win_s,"10 Jo Jo's Candy",750,200,28May18_05BEL00
BEL,2018-05-28,5,Place_p,"6  Courageous Change",810,200,28May18_05BEL00
BEL,2018-05-28,5,Place_s,"6  Courageous Change",600,200,28May18_05BEL00
BEL,2018-05-28,5,Show_s,"2  Spiral Bound",670,200,28May18_05BEL00
BEL,2018-05-16,6,Exacta,1-4,3025,100,16May18_06BEL00
BEL,2018-05-16,6,Trifecta,1-4-3,9237,50,16May18_06BEL00
BEL,2018-05-16,6,Superfecta,1-4-3-5,11245,10,16May18_06BEL00
